,VehiclePicture,OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,FrontCrashPicture,FrontCrashVideo,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,SideCrashPicture,SideCrashVideo,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,SidePolePicture,SidePoleVideo,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ComplaintsCount,RecallsCount,InvestigationCount,ModelYear,Make,Model,VehicleDescription,VehicleId,Case Name
21,https://static.nhtsa.gov/images/vehicles/6759_st0640_046.png,4,3,5,2,https://static.nhtsa.gov/crashTest/images/2011/v06951P034.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06951C019.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2011/v06944P084.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06944C014.wmv,5,5,5,4,Not Rated,0.139,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2011/v06950P055.jpg,https://static.nhtsa.gov/crashTest/videos/2011/v06950C012.wmv,Standard,No,No,597,14,1,2011,TOYOTA,SIENNA,2011 Toyota Sienna VAN FWD,461,120017
22,https://static.nhtsa.gov/images/vehicles/9077_st0640_046.png,5,5,4,5,https://static.nhtsa.gov/crashTest/images/2014/v07732P081.jpg,https://static.nhtsa.gov/crashTest/videos/2014/v07732C015.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2014/v07750P001.jpg,https://static.nhtsa.gov/crashTest/videos/2014/v07750C001.wmv,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2014/v07719P002.jpg,https://static.nhtsa.gov/crashTest/videos/2014/v07719C001.wmv,Standard,No,No,554,1,2,2014,HONDA,CR-V,2014 Honda CR-V SUV 4WD,8216,120017
23,https://static.nhtsa.gov/images/vehicles/9077_st0640_046.png,5,5,4,5,https://static.nhtsa.gov/crashTest/images/2014/v07732P081.jpg,https://static.nhtsa.gov/crashTest/videos/2014/v07732C015.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2014/v07750P001.jpg,https://static.nhtsa.gov/crashTest/videos/2014/v07750C001.wmv,5,5,5,4,Not Rated,0.174,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2014/v07719P002.jpg,https://static.nhtsa.gov/crashTest/videos/2014/v07719C001.wmv,Standard,No,No,554,1,2,2014,HONDA,CR-V,2014 Honda CR-V SUV FWD,8215,120017
24,https://static.nhtsa.gov/images/vehicles/1113_st0640_046.jpg,Not Rated,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2003/Corolla_f.jpg,,Not Rated,4,4,https://static.nhtsa.gov/crashTest/images/2003/corolla_s.jpg,,Not Rated,Not Rated,Not Rated,Not Rated,4,0.0,0.0, ,Not Rated,,,No,No,No,760,14,4,2003,TOYOTA,COROLLA,2003 Toyota Corolla 4-DR.,4806,120019
25,https://static.nhtsa.gov/images/vehicles/11514_st0640_046.png,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2017/v09350P080.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v09350C018.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2017/v09355P104.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v09355C014.wmv,5,5,5,4,Not Rated,0.162,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2017/v09351P072.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v09351C014.wmv,Standard,Optional,Optional,828,3,2,2017,HYUNDAI,TUCSON,2017 Hyundai Tucson SUV AWD,11012,120020
26,https://static.nhtsa.gov/images/vehicles/11514_st0640_046.png,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2017/v09350P080.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v09350C018.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2017/v09355P104.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v09355C014.wmv,5,5,5,4,Not Rated,0.155,0.0,No Tip,4,https://static.nhtsa.gov/crashTest/images/2017/v09351P072.jpg,https://static.nhtsa.gov/crashTest/videos/2017/v09351C014.wmv,Standard,Optional,Optional,828,3,2,2017,HYUNDAI,TUCSON,2017 Hyundai Tucson SUV FWD,11011,120020
27,https://static.nhtsa.gov/images/vehicles/9744_st0640_046.png,5,5,5,5,https://static.nhtsa.gov/crashTest/images/2015/v08878P086.jpg,https://static.nhtsa.gov/crashTest/videos/2015/v08878C016.wmv,5,5,5,https://static.nhtsa.gov/crashTest/images/2015/v08879P112.jpg,https://static.nhtsa.gov/crashTest/videos/2015/v08879C012.wmv,5,5,5,4,Not Rated,0.105,0.0,No Tip,5,https://static.nhtsa.gov/crashTest/images/2015/v08880P076.jpg,https://static.nhtsa.gov/crashTest/videos/2015/v08880C001.wmv,Standard,Optional,Optional,922,9,4,2015,HYUNDAI,SONATA,2015 Hyundai Sonata 4 DR FWD,9598,120022
28,https://static.nhtsa.gov/images/vehicles/3197_st0640_046.jpg,Not Rated,Not Rated,5,5,https://static.nhtsa.gov/crashTest/images/2005/05Tacoma-f.jpg,https://static.nhtsa.gov/crashTest/videos/2005/05Tacoma-f.wmv,Not Rated,5,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Optional,No,No,701,10,0,2005,TOYOTA,TACOMA,2005 Toyota Tacoma Extended Cab,2357,120023
29,https://static.nhtsa.gov/images/vehicles/3197_st0640_046.jpg,Not Rated,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,,,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Optional,No,No,701,10,0,2005,TOYOTA,TACOMA,2005 Toyota Tacoma 4-DR.,1658,120023
30,https://static.nhtsa.gov/images/vehicles/2187_st0640_046.jpg,Not Rated,Not Rated,5,5,,,Not Rated,5,Not Rated,https://static.nhtsa.gov/crashTest/images/2005/05Tacoma-s.jpg,https://static.nhtsa.gov/crashTest/videos/2005/05Tacoma-s.wmv,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,,,Optional,No,No,701,10,0,2005,TOYOTA,TACOMA,2005 Toyota Tacoma Regular Cab,1544,120023
